Customer_id,Age,Income_level,Number_of_credit_cards,Education,Car_loans,Credit_rating
A00000517,23,Medium,5 or more,High school,More than 2,Bad
A00000518,34,Medium,5 or more,High school,More than 2,Bad
A00000519,33,High,Less than 5,College,None or 1,Bad
A00000520,24,Medium,5 or more,College,More than 2,Bad
A00000521,21,Medium,5 or more,College,More than 2,Bad
A00000522,28,Low,5 or more,College,More than 2,Bad
A00000523,24,Medium,5 or more,High school,None or 1,Bad
A00000524,29,Medium,5 or more,College,More than 2,Bad
A00000525,47,Medium,5 or more,High school,More than 2,Bad
A00000526,25,Medium,5 or more,High school,More than 2,Bad
A00000527,33,High,5 or more,College,More than 2,Bad
A00000528,32,Medium,5 or more,College,More than 2,Bad
A00000529,37,High,5 or more,High school,More than 2,Bad
A00000530,35,Medium,5 or more,College,More than 2,Bad
A00000531,25,Low,5 or more,High school,More than 2,Bad
A00000532,34,High,5 or more,High school,More than 2,Bad
A00000533,43,Low,5 or more,College,More than 2,Bad
A00000534,27,Low,5 or more,High school,More than 2,Bad
A00000535,30,Medium,Less than 5,High school,None or 1,Bad
A00000536,48,High,5 or more,High school,None or 1,Bad
A00000537,34,Low,5 or more,High school,More than 2,Bad
A00000538,32,Low,5 or more,College,More than 2,Bad
A00000539,34,Low,5 or more,College,More than 2,Bad
A00000540,26,Medium,5 or more,High school,More than 2,Bad
A00000541,23,Low,5 or more,College,None or 1,Bad
A00000542,22,Medium,5 or more,High school,More than 2,Bad
A00000543,29,Low,5 or more,High school,More than 2,Bad
A00000544,28,Medium,5 or more,College,More than 2,Bad
A00000545,26,Medium,5 or more,High school,More than 2,Bad
A00000546,28,Medium,5 or more,High school,More than 2,Bad
A00000547,27,Medium,5 or more,College,More than 2,Bad
A00000548,33,Low,5 or more,College,More than 2,Bad
A00000549,39,High,5 or more,High school,More than 2,Bad
A00000550,44,Low,5 or more,College,More than 2,Bad
A00000551,28,Medium,5 or more,College,More than 2,Bad
A00000552,38,Medium,5 or more,College,None or 1,Bad
A00000553,42,Medium,Less than 5,College,None or 1,Bad
A00000554,30,Low,5 or more,College,More than 2,Bad
A00000555,27,Low,5 or more,College,More than 2,Bad
A00000556,48,High,5 or more,College,More than 2,Bad
A00000557,37,Low,5 or more,College,More than 2,Bad
A00000558,21,Low,5 or more,College,More than 2,Bad
A00000559,40,Medium,5 or more,College,More than 2,Bad
A00000560,43,Low,5 or more,High school,More than 2,Bad
A00000561,21,Medium,5 or more,High school,More than 2,Bad
A00000562,23,Low,5 or more,College,More than 2,Bad
A00000563,30,Low,5 or more,College,More than 2,Bad
A00000564,23,Low,5 or more,College,More than 2,Bad
A00000565,40,Low,5 or more,High school,More than 2,Bad
A00000566,27,Low,5 or more,College,More than 2,Bad
A00000567,20,Medium,5 or more,College,More than 2,Bad
A00000568,22,Low,5 or more,High school,More than 2,Bad
A00000569,30,Low,5 or more,High school,More than 2,Bad
A00000570,25,Low,5 or more,High school,More than 2,Bad
A00000571,27,Low,5 or more,High school,More than 2,Bad
A00000572,36,Low,5 or more,High school,More than 2,Bad
A00000573,30,Medium,5 or more,College,More than 2,Bad
A00000574,34,Medium,Less than 5,High school,None or 1,Bad
A00000575,30,Medium,5 or more,High school,More than 2,Bad
A00000576,38,Medium,5 or more,High school,More than 2,Bad
A00000577,37,Low,5 or more,College,More than 2,Bad
A00000578,28,Medium,5 or more,College,More than 2,Bad
A00000579,38,Low,5 or more,College,More than 2,Bad
A00000580,36,Low,5 or more,College,None or 1,Bad
A00000581,36,Medium,5 or more,College,More than 2,Bad
A00000582,37,Low,5 or more,High school,More than 2,Bad
A00000583,31,Low,5 or more,High school,More than 2,Bad
A00000584,28,Medium,5 or more,College,None or 1,Bad
A00000585,29,Medium,5 or more,High school,More than 2,Bad
A00000586,32,Medium,5 or more,College,None or 1,Bad
A00000587,34,Low,5 or more,College,More than 2,Bad
A00000588,32,Low,5 or more,College,More than 2,Bad
A00000589,32,Medium,5 or more,College,None or 1,Bad
A00000590,20,Low,5 or more,High school,More than 2,Bad
A00000591,23,Medium,5 or more,High school,More than 2,Bad
A00000592,36,Medium,5 or more,College,More than 2,Bad
A00000593,39,Low,5 or more,High school,More than 2,Bad
A00000594,29,High,Less than 5,High school,None or 1,Bad
A00000595,31,Low,5 or more,College,More than 2,Bad
A00000596,32,Medium,5 or more,High school,More than 2,Bad
A00000597,34,Medium,5 or more,College,More than 2,Bad
A00000598,24,Medium,5 or more,High school,More than 2,Bad
A00000599,54,Medium,5 or more,High school,More than 2,Bad
A00000600,23,Low,Less than 5,High school,None or 1,Bad
A00000601,29,Low,Less than 5,College,None or 1,Bad
A00000602,38,High,5 or more,High school,More than 2,Bad
A00000603,38,Low,5 or more,College,More than 2,Bad
A00000604,20,Medium,5 or more,College,More than 2,Bad
A00000605,20,Medium,5 or more,High school,More than 2,Bad
A00000606,27,Low,5 or more,College,None or 1,Bad
A00000607,39,Low,5 or more,College,More than 2,Bad
A00000608,35,Medium,5 or more,High school,More than 2,Bad
A00000609,28,Medium,5 or more,College,More than 2,Bad
A00000610,29,Medium,5 or more,College,More than 2,Bad
A00000611,33,High,5 or more,High school,More than 2,Bad
A00000612,23,Medium,5 or more,College,More than 2,Bad
A00000613,22,High,Less than 5,High school,None or 1,Bad
A00000614,37,Low,5 or more,College,More than 2,Bad
A00000615,42,Medium,5 or more,College,More than 2,Bad
A00000616,20,Low,5 or more,High school,None or 1,Bad
A00000617,29,High,5 or more,College,None or 1,Bad
A00000618,27,Medium,5 or more,College,More than 2,Bad
A00000619,50,Low,5 or more,College,More than 2,Bad
A00000620,36,Low,5 or more,College,More than 2,Bad
A00000621,31,Low,5 or more,High school,None or 1,Bad
A00000622,20,Medium,5 or more,High school,More than 2,Bad
A00000623,31,Low,5 or more,College,More than 2,Bad
A00000624,25,Medium,5 or more,High school,More than 2,Bad
A00000625,21,Low,5 or more,High school,More than 2,Bad
A00000626,27,Low,5 or more,College,More than 2,Bad
A00000627,34,Low,5 or more,College,More than 2,Bad
A00000628,21,Low,5 or more,College,More than 2,Bad
A00000629,27,Low,5 or more,College,More than 2,Bad
A00000630,38,Medium,5 or more,High school,More than 2,Bad
A00000631,36,Low,5 or more,College,More than 2,Bad
A00000632,27,Low,5 or more,High school,More than 2,Bad
A00000633,30,Medium,5 or more,High school,More than 2,Bad
A00000634,35,Medium,Less than 5,College,None or 1,Bad
A00000635,29,Low,5 or more,College,More than 2,Bad
A00000636,29,Medium,5 or more,College,More than 2,Bad
A00000637,25,Low,5 or more,College,More than 2,Bad
A00000638,30,High,5 or more,College,More than 2,Bad
A00000639,28,Medium,5 or more,College,More than 2,Bad
A00000640,22,Medium,5 or more,College,More than 2,Bad
A00000641,33,Low,5 or more,High school,More than 2,Bad
A00000642,25,High,5 or more,High school,More than 2,Bad
A00000643,27,High,5 or more,College,More than 2,Bad
A00000644,23,Medium,5 or more,High school,More than 2,Bad
A00000645,31,Low,5 or more,College,More than 2,Bad
A00000646,44,Low,5 or more,College,More than 2,Bad
A00000647,24,Low,5 or more,High school,More than 2,Bad
A00000648,21,Medium,5 or more,College,More than 2,Bad
A00000649,24,Medium,5 or more,High school,More than 2,Bad
A00000650,37,Medium,5 or more,High school,More than 2,Bad
A00000651,32,Low,5 or more,College,More than 2,Bad
A00000652,25,Medium,5 or more,College,More than 2,Bad
A00000653,34,Medium,5 or more,High school,More than 2,Bad
A00000654,34,Medium,5 or more,College,More than 2,Bad
A00000655,27,Low,5 or more,High school,More than 2,Bad
A00000656,21,Low,Less than 5,High school,None or 1,Bad
A00000657,29,Low,5 or more,College,More than 2,Bad
A00000658,26,Medium,5 or more,High school,More than 2,Bad
A00000659,42,Medium,5 or more,High school,More than 2,Bad
A00000660,23,Low,5 or more,College,More than 2,Bad
A00000661,27,Low,5 or more,High school,More than 2,Bad
A00000662,20,Medium,5 or more,High school,More than 2,Bad
A00000663,27,Low,Less than 5,College,None or 1,Bad
A00000664,24,Low,5 or more,High school,More than 2,Bad
A00000665,28,Low,5 or more,High school,None or 1,Bad
A00000666,35,Low,5 or more,High school,More than 2,Bad
A00000667,26,High,5 or more,College,More than 2,Bad
A00000668,20,Medium,5 or more,High school,None or 1,Bad
A00000669,42,Medium,5 or more,College,More than 2,Bad
A00000670,41,Medium,5 or more,High school,More than 2,Bad
A00000671,22,Medium,5 or more,High school,More than 2,Bad
A00000672,33,Medium,5 or more,High school,More than 2,Bad
A00000673,26,Medium,5 or more,College,More than 2,Bad
A00000674,26,Low,5 or more,High school,More than 2,Bad
A00000675,29,Medium,5 or more,High school,More than 2,Bad
A00000676,30,Low,5 or more,College,More than 2,Bad
A00000677,27,Medium,5 or more,High school,More than 2,Bad
A00000678,28,High,5 or more,High school,More than 2,Bad
A00000679,36,Medium,5 or more,College,More than 2,Bad
A00000680,41,Medium,5 or more,High school,None or 1,Bad
A00000681,24,Medium,5 or more,High school,More than 2,Bad
A00000682,29,Low,5 or more,High school,More than 2,Bad
A00000683,30,Low,5 or more,High school,More than 2,Bad
A00000684,51,Low,5 or more,High school,More than 2,Bad
A00000685,30,Low,5 or more,College,More than 2,Bad
A00000686,21,Medium,5 or more,High school,More than 2,Bad
A00000687,21,Low,Less than 5,College,More than 2,Bad
A00000688,,Low,5 or more,College,More than 2,Bad
A00000689,38,High,5 or more,College,More than 2,Bad
A00000690,40,Low,5 or more,High school,More than 2,Bad
A00000691,34,Medium,5 or more,High school,More than 2,Bad
A00000692,26,Medium,Less than 5,High school,None or 1,Bad
A00000693,24,Low,5 or more,College,More than 2,Bad
A00000694,27,Medium,5 or more,High school,More than 2,Bad
A00000695,24,Medium,5 or more,High school,More than 2,Bad
A00000696,34,High,5 or more,College,None or 1,Bad
A00000697,22,Medium,5 or more,High school,More than 2,Bad
A00000698,47,Medium,5 or more,High school,More than 2,Bad
A00000699,34,Medium,5 or more,High school,More than 2,Bad
A00000700,25,High,5 or more,High school,More than 2,Bad
A00000701,29,Low,5 or more,High school,More than 2,Bad
A00000702,31,Medium,5 or more,High school,None or 1,Bad
A00000703,24,Low,5 or more,College,More than 2,Bad
A00000704,26,Medium,5 or more,High school,More than 2,Bad
A00000705,40,Medium,5 or more,High school,More than 2,Bad
A00000706,47,Medium,5 or more,High school,More than 2,Bad
A00000707,41,Low,5 or more,High school,More than 2,Bad
A00000708,46,Low,5 or more,High school,More than 2,Bad
A00000709,21,Medium,5 or more,College,More than 2,Bad
A00000710,22,Low,5 or more,College,More than 2,Bad
A00000711,31,Low,5 or more,High school,More than 2,Bad
A00000712,35,Low,Less than 5,High school,None or 1,Bad
A00000713,28,Low,5 or more,High school,More than 2,Bad
A00000714,21,Low,5 or more,High school,More than 2,Bad
A00000715,26,Low,5 or more,College,More than 2,Bad
A00000716,44,Low,5 or more,College,More than 2,Bad
A00000717,34,Medium,Less than 5,High school,None or 1,Bad
A00000718,23,Medium,5 or more,High school,More than 2,Bad
A00000719,26,Medium,5 or more,College,More than 2,Bad
A00000720,26,Low,5 or more,College,None or 1,Bad
A00000721,27,Medium,5 or more,High school,More than 2,Bad
A00000722,20,Low,5 or more,High school,More than 2,Bad
A00000723,33,Medium,5 or more,High school,More than 2,Bad
A00000724,42,Low,5 or more,College,More than 2,Bad
A00000725,28,Medium,5 or more,High school,More than 2,Bad
A00000726,36,Low,5 or more,High school,More than 2,Bad
A00000727,24,Medium,5 or more,College,More than 2,Bad
A00000728,23,Medium,5 or more,College,More than 2,Bad
A00000729,23,Medium,5 or more,High school,More than 2,Bad
A00000730,27,Medium,5 or more,College,More than 2,Bad
A00000731,36,Low,5 or more,College,More than 2,Bad
A00000732,34,Medium,5 or more,College,More than 2,Bad
A00000733,31,Low,5 or more,High school,More than 2,Bad
A00000734,28,Medium,5 or more,College,More than 2,Bad
A00000735,35,Medium,5 or more,College,More than 2,Bad
A00000736,24,Medium,5 or more,College,More than 2,Bad
A00000737,31,Medium,5 or more,High school,More than 2,Bad
A00000738,29,Low,5 or more,College,More than 2,Bad
A00000739,22,Low,Less than 5,College,More than 2,Bad
A00000740,21,Low,5 or more,High school,More than 2,Bad
A00000741,38,High,5 or more,College,More than 2,Bad
A00000742,34,Low,5 or more,College,More than 2,Bad
A00000743,33,Medium,5 or more,High school,More than 2,Bad
A00000744,24,Low,5 or more,College,More than 2,Bad
A00000745,21,Medium,5 or more,College,More than 2,Bad
A00000746,31,Medium,5 or more,High school,More than 2,Bad
A00000747,25,Low,5 or more,College,None or 1,Bad
A00000748,43,Low,5 or more,High school,More than 2,Bad
A00000749,21,Low,5 or more,College,More than 2,Bad
A00000750,32,Low,5 or more,High school,More than 2,Bad
A00000751,29,Medium,5 or more,High school,More than 2,Bad
A00000752,30,High,5 or more,High school,More than 2,Bad
A00000753,20,Medium,5 or more,College,More than 2,Bad
A00000754,42,Low,5 or more,High school,More than 2,Bad
A00000755,35,Low,5 or more,College,More than 2,Bad
A00000756,39,Medium,5 or more,College,More than 2,Bad
A00000757,38,Low,5 or more,High school,More than 2,Bad
A00000758,25,Medium,5 or more,College,More than 2,Bad
A00000759,26,Low,5 or more,College,More than 2,Bad
A00000760,25,Medium,Less than 5,College,None or 1,Bad
A00000761,22,Medium,5 or more,College,More than 2,Bad
A00000762,36,Medium,5 or more,High school,More than 2,Bad
A00000763,34,Low,5 or more,High school,More than 2,Bad
A00000764,26,Medium,5 or more,High school,More than 2,Bad
A00000765,20,Medium,5 or more,High school,More than 2,Bad
A00000766,40,Low,5 or more,College,More than 2,Bad
A00000767,26,Medium,5 or more,College,More than 2,Bad
A00000768,24,Low,5 or more,College,None or 1,Bad
A00000769,40,Low,5 or more,High school,More than 2,Bad
A00000770,41,Low,5 or more,High school,More than 2,Bad
A00000771,28,Medium,5 or more,College,More than 2,Bad
A00000772,20,Medium,5 or more,High school,None or 1,Bad
A00000773,23,Low,5 or more,High school,More than 2,Bad
A00000774,25,Medium,5 or more,College,More than 2,Bad
A00000775,27,Medium,5 or more,College,More than 2,Bad
A00000776,22,Low,5 or more,College,More than 2,Bad
A00000777,20,Medium,5 or more,College,More than 2,Bad
A00000778,45,Medium,5 or more,High school,More than 2,Bad
A00000779,39,Medium,5 or more,High school,More than 2,Bad
A00000780,34,Low,Less than 5,High school,None or 1,Bad
A00000781,29,High,5 or more,College,None or 1,Bad
A00000782,21,Low,5 or more,High school,More than 2,Bad
A00000783,34,Medium,5 or more,High school,None or 1,Bad
A00000784,26,Low,5 or more,High school,More than 2,Bad
A00000785,34,Medium,Less than 5,High school,None or 1,Bad
A00000786,38,,5 or more,High school,More than 2,Bad
A00000787,36,Medium,5 or more,College,More than 2,Bad
A00000788,22,Medium,5 or more,College,More than 2,Bad
A00000789,22,Low,5 or more,High school,More than 2,Bad
A00000790,35,Low,5 or more,High school,More than 2,Bad
A00000791,22,Low,5 or more,High school,More than 2,Bad
A00000792,39,Medium,5 or more,High school,More than 2,Bad
A00000793,21,Low,Less than 5,High school,None or 1,Bad
A00000794,26,Medium,5 or more,College,More than 2,Bad
A00000795,30,Low,5 or more,High school,More than 2,Bad
A00000796,35,Low,5 or more,College,More than 2,Bad
A00000797,33,Medium,5 or more,High school,None or 1,Bad
A00000798,27,Medium,5 or more,College,None or 1,Bad
A00000799,31,Low,5 or more,College,None or 1,Bad
A00000800,25,Low,5 or more,College,More than 2,Bad
A00000801,28,High,5 or more,College,More than 2,Bad
A00000802,24,Low,5 or more,College,More than 2,Bad
A00000803,21,Medium,5 or more,College,More than 2,Bad
A00000804,35,Medium,5 or more,High school,More than 2,Bad
A00000805,32,Low,5 or more,High school,More than 2,Bad
A00000806,31,Low,5 or more,College,More than 2,Bad
A00000807,25,Medium,Less than 5,High school,None or 1,Bad
A00000808,38,Medium,5 or more,College,More than 2,Bad
A00000809,22,High,5 or more,High school,None or 1,Bad
A00000810,24,Low,5 or more,High school,More than 2,Bad
A00000811,24,Medium,5 or more,College,None or 1,Bad
A00000812,44,Low,5 or more,College,More than 2,Bad
A00000813,41,Low,5 or more,College,More than 2,Bad
A00000814,25,Low,5 or more,High school,More than 2,Bad
A00000815,23,Medium,5 or more,High school,More than 2,Bad
A00000816,23,High,5 or more,College,More than 2,Bad
A00000817,24,High,5 or more,High school,More than 2,Bad
A00000818,48,Low,5 or more,College,More than 2,Bad
A00000819,20,Medium,5 or more,College,More than 2,Bad
A00000820,47,Low,5 or more,College,More than 2,Bad
A00000821,26,Low,5 or more,College,More than 2,Bad
A00000822,32,Low,5 or more,High school,More than 2,Bad
A00000823,24,Low,5 or more,High school,More than 2,Bad
A00000824,27,High,5 or more,College,None or 1,Bad
A00000825,34,Medium,5 or more,College,More than 2,Bad
A00000826,29,Low,5 or more,College,None or 1,Bad
A00000827,25,Medium,5 or more,High school,More than 2,Bad
A00000828,27,Medium,Less than 5,College,None or 1,Bad
A00000829,28,High,5 or more,High school,More than 2,Bad
A00000830,27,High,5 or more,High school,More than 2,Bad
A00000831,29,Low,5 or more,College,More than 2,Bad
A00000832,23,Medium,5 or more,High school,More than 2,Bad
A00000833,22,Medium,5 or more,High school,More than 2,Bad
A00000834,31,Medium,5 or more,High school,More than 2,Bad
A00000835,21,Low,5 or more,High school,More than 2,Bad
A00000836,24,Low,5 or more,College,More than 2,Bad
A00000837,21,Medium,5 or more,College,More than 2,Bad
A00000838,23,Medium,Less than 5,College,None or 1,Bad
A00000839,27,High,5 or more,High school,More than 2,Bad
A00000840,29,Low,5 or more,College,More than 2,Bad
A00000841,38,Medium,5 or more,College,More than 2,Bad
A00000842,30,,5 or more,College,More than 2,Bad
A00000843,25,Medium,5 or more,High school,More than 2,Bad
A00000844,23,Medium,5 or more,High school,More than 2,Bad
A00000845,27,Low,5 or more,College,None or 1,Bad
A00000846,29,Low,5 or more,High school,More than 2,Bad
A00000847,29,Medium,Less than 5,High school,None or 1,Bad
A00000848,25,Low,5 or more,High school,More than 2,Bad
A00000849,35,High,5 or more,High school,More than 2,Bad
A00000850,22,Low,5 or more,College,More than 2,Bad
A00000851,28,Low,5 or more,High school,More than 2,Bad
A00000852,32,Low,5 or more,High school,More than 2,Bad
A00000853,21,Medium,5 or more,College,More than 2,Bad
A00000854,41,High,5 or more,College,More than 2,Bad
A00000855,32,Low,5 or more,College,More than 2,Bad
A00000856,29,Medium,5 or more,College,More than 2,Bad
A00000857,28,High,5 or more,College,More than 2,Bad
A00000858,37,Medium,5 or more,College,More than 2,Bad
A00000859,25,Medium,Less than 5,College,None or 1,Bad
A00000860,25,Low,5 or more,College,More than 2,Bad
A00000861,23,High,5 or more,High school,More than 2,Bad
A00000862,25,Medium,5 or more,High school,More than 2,Bad
A00000863,32,Low,5 or more,High school,More than 2,Bad
A00000864,22,Medium,5 or more,High school,More than 2,Bad
A00000865,27,Low,5 or more,College,More than 2,Bad
A00000866,28,Medium,5 or more,College,More than 2,Bad
A00000867,44,Medium,5 or more,High school,More than 2,Bad
A00000868,23,Medium,5 or more,High school,More than 2,Bad
A00000869,36,Medium,5 or more,College,More than 2,Bad
A00000870,26,Low,5 or more,College,More than 2,Bad
A00000871,36,Low,Less than 5,High school,None or 1,Bad
A00000872,36,High,5 or more,High school,More than 2,Bad
A00000873,37,Medium,5 or more,High school,More than 2,Bad
A00000874,24,Low,5 or more,College,More than 2,Bad
A00000875,47,Medium,5 or more,High school,More than 2,Bad
A00000876,23,Low,5 or more,High school,More than 2,Bad
A00000877,23,Low,5 or more,High school,More than 2,Bad
A00000878,28,Low,5 or more,College,None or 1,Bad
A00000879,25,Low,5 or more,High school,More than 2,Bad
A00000880,26,Medium,5 or more,High school,More than 2,Bad
A00000881,20,Medium,5 or more,High school,More than 2,Bad
A00000882,31,Medium,5 or more,High school,More than 2,Bad
A00000883,33,Low,5 or more,College,More than 2,Bad
A00000884,23,Low,5 or more,College,More than 2,Bad
A00000885,21,Low,5 or more,College,More than 2,Bad
A00000886,24,Low,Less than 5,College,None or 1,Bad
A00000887,24,High,5 or more,High school,More than 2,Bad
A00000888,21,Low,5 or more,High school,More than 2,Bad
A00000889,29,High,5 or more,High school,More than 2,Bad
A00000890,21,Low,5 or more,High school,More than 2,Bad
A00000891,27,Medium,5 or more,High school,None or 1,Bad
A00000892,35,Low,5 or more,High school,More than 2,Bad
A00000893,26,Medium,5 or more,High school,More than 2,Bad
A00000894,25,Medium,5 or more,College,More than 2,Bad
A00000895,20,Low,5 or more,High school,More than 2,Bad
A00000896,29,Low,5 or more,College,More than 2,Bad
A00000897,23,Medium,5 or more,High school,More than 2,Bad
A00000898,29,High,5 or more,College,More than 2,Bad
A00000899,21,Low,5 or more,High school,More than 2,Bad
A00000900,26,High,5 or more,High school,More than 2,Bad
A00000901,25,Medium,5 or more,High school,More than 2,Bad
A00000902,27,Medium,5 or more,High school,More than 2,Bad
A00000903,31,Medium,5 or more,College,More than 2,Bad
A00000904,42,Low,5 or more,College,More than 2,Bad
A00000905,34,Medium,5 or more,High school,More than 2,Bad
A00000906,39,Low,5 or more,High school,More than 2,Bad
A00000907,38,Low,5 or more,College,None or 1,Bad
A00000908,41,Medium,5 or more,College,More than 2,Bad
A00000909,23,Medium,5 or more,High school,More than 2,Bad
A00000910,23,Medium,5 or more,High school,More than 2,Bad
A00000911,23,Low,5 or more,College,More than 2,Bad
A00000912,31,Medium,5 or more,High school,More than 2,Bad
A00000913,30,Low,5 or more,College,More than 2,Bad
A00000914,52,Low,5 or more,High school,More than 2,Bad
A00000915,22,Medium,5 or more,High school,More than 2,Bad
A00000916,38,Medium,5 or more,High school,More than 2,Bad
A00000917,36,Medium,5 or more,High school,More than 2,Bad
A00000918,33,High,5 or more,High school,More than 2,Bad
A00000919,23,Medium,5 or more,College,More than 2,Bad
A00000920,42,Low,5 or more,College,More than 2,Bad
A00000921,31,Low,5 or more,High school,More than 2,Bad
A00000922,30,Medium,5 or more,College,More than 2,Bad
A00000923,37,Low,Less than 5,College,None or 1,Bad
A00000924,28,Low,5 or more,High school,More than 2,Bad
A00000925,31,,5 or more,High school,More than 2,Bad
A00000926,25,Low,5 or more,High school,More than 2,Bad
A00000927,31,High,5 or more,College,More than 2,Bad
A00000928,26,Medium,5 or more,High school,More than 2,Bad
A00000929,26,Low,5 or more,College,More than 2,Bad
A00000930,48,Low,5 or more,College,More than 2,Bad
A00000931,43,Low,5 or more,College,More than 2,Bad
A00000932,23,Low,5 or more,High school,More than 2,Bad
A00000933,31,Low,5 or more,College,More than 2,Bad
A00000934,32,High,5 or more,College,More than 2,Bad
A00000935,27,Low,5 or more,High school,More than 2,Bad
A00000936,32,High,5 or more,College,None or 1,Bad
A00000937,31,Medium,5 or more,College,More than 2,Bad
A00000938,26,Medium,5 or more,College,More than 2,Bad
A00000939,26,Medium,5 or more,College,More than 2,Bad
A00000940,30,Low,Less than 5,College,None or 1,Bad
A00000941,20,Low,5 or more,High school,More than 2,Bad
A00000942,26,Medium,5 or more,High school,None or 1,Bad
A00000943,34,Low,5 or more,College,More than 2,Bad
A00000944,27,Low,5 or more,High school,More than 2,Bad
A00000945,33,High,5 or more,High school,None or 1,Bad
A00000946,36,Medium,5 or more,College,More than 2,Bad
A00000947,29,Medium,5 or more,College,More than 2,Bad
A00000948,34,High,Less than 5,High school,None or 1,Bad
A00000949,27,Low,5 or more,College,More than 2,Bad
A00000950,24,High,Less than 5,College,More than 2,Bad
A00000951,20,Low,5 or more,College,More than 2,Bad
A00000952,26,Low,5 or more,High school,More than 2,Bad
A00000953,41,Low,Less than 5,High school,None or 1,Bad
A00000954,21,Medium,5 or more,High school,More than 2,Bad
A00000955,30,High,5 or more,High school,More than 2,Bad
A00000956,22,Medium,5 or more,High school,More than 2,Bad
A00000957,23,High,5 or more,College,More than 2,Bad
A00000958,30,Medium,5 or more,High school,More than 2,Bad
A00000959,22,Low,5 or more,High school,More than 2,Bad
A00000960,31,Low,5 or more,College,More than 2,Bad
A00000961,34,Low,5 or more,High school,More than 2,Bad
A00000962,41,Medium,5 or more,College,More than 2,Bad
A00000963,28,Low,5 or more,High school,More than 2,Bad
A00000964,31,High,Less than 5,College,None or 1,Bad
A00000965,49,Low,5 or more,College,More than 2,Bad
A00000966,34,Low,5 or more,College,More than 2,Bad
A00000967,42,Medium,5 or more,College,More than 2,Bad
A00000968,41,High,5 or more,High school,More than 2,Bad
A00000969,28,Medium,5 or more,College,More than 2,Bad
A00000970,21,Medium,5 or more,High school,More than 2,Bad
A00000971,35,Medium,5 or more,College,More than 2,Bad
A00000972,43,Medium,5 or more,College,More than 2,Bad
A00000973,22,Low,5 or more,College,None or 1,Bad
A00000974,41,Low,5 or more,High school,More than 2,Bad
A00000975,23,Medium,5 or more,High school,More than 2,Bad
A00000976,33,High,5 or more,College,More than 2,Bad
A00000977,55,High,5 or more,College,More than 2,Bad
A00000978,24,High,5 or more,College,More than 2,Bad
A00000979,26,Medium,5 or more,College,More than 2,Bad
A00000980,47,Low,5 or more,College,More than 2,Bad
A00000981,32,Low,5 or more,High school,More than 2,Bad
A00000982,21,Medium,5 or more,College,None or 1,Bad
A00000983,24,Low,Less than 5,High school,None or 1,Bad
A00000984,40,Medium,5 or more,High school,More than 2,Bad
A00000985,30,High,Less than 5,College,None or 1,Bad
A00000986,28,Low,Less than 5,College,None or 1,Bad
A00000987,41,High,5 or more,High school,None or 1,Bad
A00000988,28,Medium,5 or more,College,More than 2,Bad
A00000989,25,Low,5 or more,College,More than 2,Bad
A00000990,31,Medium,5 or more,College,More than 2,Bad
A00000991,29,Medium,5 or more,College,None or 1,Bad
A00000992,30,High,5 or more,High school,More than 2,Bad
A00000993,28,Low,5 or more,High school,More than 2,Bad
A00000994,21,Medium,5 or more,College,More than 2,Bad
A00000995,30,Medium,Less than 5,High school,None or 1,Bad
A00000996,41,Medium,5 or more,College,More than 2,Bad
A00000997,23,Low,5 or more,High school,More than 2,Bad
A00000998,27,Medium,5 or more,High school,More than 2,Bad
A00000999,38,Low,5 or more,College,More than 2,Bad
A00001000,50,Low,5 or more,College,More than 2,Bad
A00001001,30,Medium,5 or more,College,More than 2,Bad
A00001002,28,Medium,5 or more,College,More than 2,Bad
A00001003,22,Low,5 or more,College,More than 2,Bad
A00001004,24,Low,5 or more,High school,More than 2,Bad
A00001005,24,Low,5 or more,College,More than 2,Bad
A00001006,20,Medium,5 or more,College,More than 2,Bad
A00001007,29,Low,5 or more,College,More than 2,Bad
A00001008,23,Medium,5 or more,College,More than 2,Bad
A00001009,27,Low,5 or more,High school,More than 2,Bad
A00001010,21,Medium,5 or more,College,More than 2,Bad
A00001011,21,Low,Less than 5,College,More than 2,Bad
A00001012,30,Low,5 or more,College,More than 2,Bad
A00001013,22,Low,5 or more,High school,More than 2,Bad
A00001014,46,Medium,5 or more,College,More than 2,Bad
A00001015,27,Medium,5 or more,High school,None or 1,Bad
A00001016,22,Medium,5 or more,High school,More than 2,Bad
A00001017,21,Medium,Less than 5,College,None or 1,Bad
A00001018,39,Medium,5 or more,High school,More than 2,Bad
A00001019,33,Low,5 or more,College,More than 2,Bad
A00001020,23,Medium,5 or more,College,More than 2,Bad
A00001021,57,High,Less than 5,High school,None or 1,Good
A00001022,51,Medium,5 or more,High school,More than 2,Good
A00001023,27,High,Less than 5,High school,None or 1,Good
A00001024,28,Low,Less than 5,High school,None or 1,Good
A00001025,30,High,Less than 5,High school,More than 2,Good
A00001026,28,High,5 or more,High school,More than 2,Good
A00001027,42,High,5 or more,High school,None or 1,Good
A00001028,35,Medium,5 or more,High school,None or 1,Good
A00001029,24,,Less than 5,High school,None or 1,Good
A00001030,36,High,Less than 5,High school,None or 1,Good
A00001031,30,Medium,Less than 5,College,None or 1,Good
A00001032,41,Medium,Less than 5,College,None or 1,Good
A00001033,42,Medium,5 or more,College,More than 2,Good
A00001034,44,Medium,5 or more,College,More than 2,Good
A00001035,42,High,5 or more,College,More than 2,Good
